Number,Epoch,loss
0,Epoch00,5.45479738
1,Epoch01,0.84974582
2,Epoch02,0.72254711
3,Epoch03,0.66428997
4,Epoch04,0.62318340
5,Epoch05,0.58098350
6,Epoch06,0.52830091
7,Epoch07,0.45222510
8,Epoch08,0.34590620
9,Epoch09,0.25420042
10,Epoch10,0.21148207
11,Epoch11,0.19632543
12,Epoch12,0.17560770
13,Epoch13,0.16437578
14,Epoch14,0.14928884
15,Epoch15,0.13833439
16,Epoch16,0.12748084
17,Epoch17,0.12286050
18,Epoch18,0.11590883
19,Epoch19,0.10860716
20,Epoch20,0.10116617
21,Epoch21,0.10096329
22,Epoch22,0.09305468
23,Epoch23,0.08576824
24,Epoch24,0.08306966
25,Epoch25,0.07807444
26,Epoch26,0.07386739
27,Epoch27,0.07099132
28,Epoch28,0.06798692
29,Epoch29,0.06516271
30,Epoch30,0.06227747
31,Epoch31,0.06074177
32,Epoch32,0.05870992
33,Epoch33,0.05676606
34,Epoch34,0.05491862
35,Epoch35,0.05351885
36,Epoch36,0.05119535
37,Epoch37,0.05073007
38,Epoch38,0.04854721
39,Epoch39,0.04777729
40,Epoch40,0.04652629
41,Epoch41,0.04493814
42,Epoch42,0.04661733
43,Epoch43,0.04419124
44,Epoch44,0.04246050
45,Epoch45,0.04021398
46,Epoch46,0.03836247
47,Epoch47,0.03708311
48,Epoch48,0.03646069
49,Epoch49,0.03553185
